id,data,inicio,fim,local,rito,tipo,titulo_pt,titulo_fr,titulo_en,restricao_pt,restricao_fr,restricao_en,nota_pt,nota_fr,nota_en
d26-1,2026-08-26,14:00,16:00,casa,geral,,Cerimônias Privativas Esoterismo,Cérémonies privées – Ésotérisme,Private Ceremonies – Esotericism,,,,,,
d26-2,2026-08-26,17:00,22:00,casa,athelstan,,Cerimônias Especiais Athelstan & Acon,Cérémonies spéciales Athelstan & Acon,Special Ceremonies Athelstan & Acon,,,,,,
d27-1,2026-08-27,09:00,,hotel,log,pickup,Buscar a delegação francesa no hotel,Prise en charge de la délégation française à l’hôtel,Pick up the French delegation at the hotel,,,,,,
d27-2,2026-08-27,10:00,11:00,mariz,geral,,Apresentação do que será feito nos próximos dias,Présentation du programme des prochains jours,Presentation of the coming days’ programme,,,,,,
d27-3,2026-08-27,11:00,12:00,mariz,osm,,Cerimônias de obrigação + Grau da Cátedra – OSM,Cérémonies d’obligation + Grade de la Chaire – OSM,Obligation Ceremonies + Chair Degree – OSM,,,,,,
d27-4,2026-08-27,12:00,13:30,,log,meal,Almoço · A definir,Déjeuner · À définir,Lunch · To be defined,,,,,,
d27-5,2026-08-27,13:30,14:00,mariz,osm,,Ensaio para Consagrações (OSM),Répétition des Consécrations (OSM),Rehearsal for Consecrations (OSM),,,,,,
d27-6,2026-08-27,14:00,16:00,mariz,osm,,Consagração de Conclaves (OSM),Consécration de Conclaves (OSM),Consecration of Conclaves (OSM),,,,,,
d27-7,2026-08-27,16:00,16:30,mariz,amd,,Cerimônias de obrigação + Grau da Cátedra – AMD,Cérémonies d’obligation + Grade de la Chaire – AMD,Obligation Ceremonies + Chair Degree – AMD,,,,,,
d27-8,2026-08-27,16:30,17:00,mariz,amd,,Ensaio para Consagrações (AMD),Répétition des Consécrations (AMD),Rehearsal for Consecrations (AMD),,,,,,
d27-9,2026-08-27,17:00,19:00,mariz,amd,,Consagração de Conselhos (AMD),Consécration de Conseils (AMD),Consecration of Councils (AMD),,,,,,
d27-10,2026-08-27,19:00,19:30,casa,rbe,,Cerimônias de obrigação: Red Branch of Eri – Order of St Patrick,Cérémonies d’obligation : Red Branch of Eri – Order of St Patrick,Obligation Ceremonies: Red Branch of Eri – Order of St Patrick,,,,,,
d27-11,2026-08-27,19:30,,hotel,log,hotel,Retorno ao hotel,Retour à l’hôtel,Return to the hotel,,,,,,
d28-1,2026-08-28,09:00,,hotel,log,pickup,Buscar a delegação francesa no hotel,Prise en charge de la délégation française à l’hôtel,Pick up the French delegation at the hotel,,,,,,
d28-2,2026-08-28,10:00,11:00,mariz,rcc,,Cerimônias de obrigação + Graus da Cátedra – RCC,Cérémonies d’obligation + Grades de la Chaire – RCC,Obligation Ceremonies + Chair Degrees – RCC,,,,,,
d28-3,2026-08-28,11:00,12:00,mariz,rcc,,Ensaio para Consagrações (RCC),Répétition des Consécrations (RCC),Rehearsal for Consecrations (RCC),,,,,,
d28-4,2026-08-28,12:00,13:30,,log,meal,Almoço · A definir,Déjeuner · À définir,Lunch · To be defined,,,,,,
d28-5,2026-08-28,13:30,15:30,mariz,rcc,,Consagração de Conclaves (RCC),Consécration de Conclaves (RCC),Consecration of Conclaves (RCC),,,,,,
d28-6,2026-08-28,15:30,16:00,mariz,rcc,,Ensaio para Constituição do Grande Conclave (RCC),Répétition de la Constitution du Grand Conclave (RCC),Rehearsal for the Constitution of the Grand Conclave (RCC),,,,,,
d28-7,2026-08-28,16:00,18:00,mariz,rcc,,Constituição do Grande Conclave do RCC para o Rio de Janeiro,Constitution du Grand Conclave du RCC pour Rio de Janeiro,Constitution of the Grand Conclave of the RCC for Rio de Janeiro,,,,,,
